Time [s],D-
5.029387800,1
5.029390480,0
5.029391110,1
5.029391810,0
5.029392450,1
5.029393140,0
5.029393780,1
5.029394470,0
5.029397120,1
5.029397800,0
5.029398440,1
5.029399120,0
5.029401110,1
5.029401790,0
5.029403090,1
5.029403780,0
5.029405750,1
5.029406440,0
5.029407080,1
5.029407770,0
5.029408410,1
5.029409100,0
5.029409740,1
5.029410430,0
5.029411070,1
5.029411760,0
5.029412400,1
5.029413750,0
5.029415060,1
5.029419730,0
5.029420360,1
5.029421060,0
5.029421690,1
5.029423040,0
5.029424350,1
5.029426740,1
